pkt,channel,phi_ant1,phi_ant2,phi_ant3,t_ant1,t_ant2,t_ant3,meg_ant1,meg_ant2,meg_ant3
6,23,-121.00739382714956,168.32842178176364,-167.1031908623313,1002.75,1002.0,1002.25,225.17770760001977,217.4971264177989,219.53815158190613
6,23,-8.13010235415598,-3.5935661878651945,4.858462919034286,1004.75,1004.0,1004.25,169.7056274847714,207.40781084616847,200.72119967756268
6,23,158.54003926951432,85.23635830927383,110.64201031563721,1006.75,1006.0,1006.25,155.8011553230591,156.54072952429985,156.01602481796542
6,23,45.88140399658214,-82.83063708138322,-51.938385805336225,1008.75,1008.0,1008.25,137.90213921473443,160.2529250903084,134.6291201783626
6,23,-112.61986494804043,176.59723022893826,-160.28325966469518,1010.75,1010.0,1010.25,182.0,185.32673849177837,183.77431811871864
6,23,100.84030545433058,3.671700098370705,30.90829112876738,1012.75,1012.0,1012.25,191.4157778240864,187.38463117342357,177.15812146215595
6,23,-65.07822947741478,-132.00686799402092,-110.34134041269242,1014.75,1014.0,1014.25,218.33002542023397,216.67025638051942,218.63439802556232
6,23,56.12146019489035,54.65183346680425,65.05023687139665,1016.75,1016.0,1016.25,168.6297719858507,210.87437018281761,206.24742422634037
6,23,-150.4824817140483,138.1934492732833,159.19320898728878,1018.75,1018.0,1018.25,156.28499608087785,165.01212076693034,160.46494944379597
6,23,96.63251461513849,-29.96956947656673,-2.1210963966614536,1020.75,1020.0,1020.25,129.86916493148019,158.14550262337528,135.09256086106294
6,23,-57.0022948987837,-130.80435030821943,-104.95167735392435,1022.75,1022.0,1022.25,183.61917111238685,183.6327857437228,182.16750533506246
6,23,163.32886949265745,65.97678420183027,96.69126443255227,1024.75,1024.0,1024.25,195.2050204272421,191.59592897553955,180.22763384120648
6,23,-3.0802101366458268,-75.2426806741146,-50.43146683232753,1026.75,1026.0,1026.25,223.32263655975402,211.99292441022652,216.64025480044103
6,23,115.5472129397813,115.85918406259556,125.10174005584749,1028.75,1028.0,1028.25,176.22996340009834,217.80954983654868,213.90184664934526
6,23,-89.6569156004765,-161.67673871497595,-137.19323457637554,1030.75,1030.0,1030.25,167.0029939851379,162.22515218054198,166.29191201017562
6,23,161.98530608179482,32.29061186374424,62.102728969052365,1032.75,1032.0,1032.25,129.34063553268942,170.3437700651245,134.6476884316994
6,23,2.9970425802836855,-68.42218266452696,-44.787005518288574,1034.75,1034.0,1034.25,191.26160095534075,190.33917095542893,190.21303845951252
6,23,-146.9761324442034,122.23443421894136,148.06155108332808,1036.75,1036.0,1036.25,190.82976707002499,185.60711193270583,181.4717608885746
6,23,54.61659157004996,-19.339111314892,3.708428157130453,1038.75,1038.0,1038.25,215.87264764207626,220.43819995635963,216.453228204155
6,23,168.4325601384009,167.6130132376289,176.0090869015702,1040.75,1040.0,1040.25,174.5451231057459,219.1004335915381,215.52262062252305
6,23,-38.096446080274966,-105.31685982087672,-83.62075183238687,1042.75,1042.0,1042.25,158.83639381451596,162.7820628939196,162.00308639035245
6,23,-147.46493284206502,84.67724929223178,115.24597356156949,1044.75,1044.0,1044.25,137.59360450253493,161.6972479666862,135.988970140964
6,23,54.31708606912621,-14.969550802798484,7.915512423026582,1046.75,1046.0,1046.25,183.43936327844142,193.56910910576613,188.79883474216683
6,23,-92.69780563331629,169.24512229904977,-159.56104408508696,1048.75,1048.0,1048.25,191.21192431435855,182.20043907740725,171.81676286090362
6,23,110.61582170234286,35.53767779197438,61.66347908288794,1050.75,1050.0,1050.25,224.3680012836055,215.05813167606567,217.0023041352326
6,23,-135.93155659807752,-132.12803751300723,-123.2236264370872,1052.75,1052.0,1052.25,173.97126199461795,211.69081227110448,204.41379601191304
6,23,23.815671154953908,-50.332158881659566,-24.928474135461283,1054.75,1054.0,1054.25,158.4960567332828,159.7904878270293,156.58863304850706
6,23,-80.60755065918109,148.74658072083034,-179.58179005850292,1056.75,1056.0,1056.25,134.80726983364065,169.61426826773746,137.00364958642524
6,23,115.72045713165842,46.77604425335875,69.07549825507883,1058.75,1058.0,1058.25,182.03571078225283,182.52123164169151,182.0027472320129
6,23,-27.368210428888244,-123.94854297333455,-95.5801533411958,1060.75,1060.0,1060.25,191.4262259984248,184.43969204051498,174.82848738120455
6,23,167.88737707401498,97.09251732827309,119.71256557588327,1062.75,1062.0,1062.25,223.98660674245681,218.67327225795108,219.91361940543842
6,23,-75.17352002964435,-73.32615282973003,-64.64099760214198,1064.75,1064.0,1064.25,175.85505395068972,216.08563117431012,212.47352776287212
6,23,78.41658139531293,8.230975101190326,30.052447711189824,1066.75,1066.0,1066.25,164.34719346554112,160.65490966665163,161.74362429474616
6,23,-28.26851278712913,-158.32955206732362,-132.8789036033385,1068.75,1068.0,1068.25,120.35364556173609,162.4838453508533,133.73481222179961
6,23,171.5616220221761,102.73429079534759,126.62132749378445,1070.75,1070.0,1070.25,183.99184764548676,181.463494951464,184.40173534975207
6,23,25.12312780539669,-71.56505117707798,-40.32862196465044,1072.75,1072.0,1072.25,195.4942454396037,189.73665961010278,182.33211456021672
6,23,-138.71987717232426,150.08952442565496,174.8055710922652,1074.75,1074.0,1074.25,228.87769659798656,214.5809870421888,220.9072203437452
6,23,-21.181349500266236,-20.46227152342221,-11.093723011557849,1076.75,1076.0,1076.25,171.5925406304132,214.5367101453735,207.88458336298046
6,23,135.50258166672106,60.70099125499026,84.93638314696992,1078.75,1078.0,1078.25,161.22654868228122,159.38946012832844,158.61904047118682
6,23,29.96674187061171,-100.4914770123316,-70.05400213839907,1080.75,1080.0,1080.25,128.1288414058287,164.75436261295178,131.91285001848757
6,23,-137.35916613258163,156.28381054863286,177.6140559696112,1082.75,1082.0,1082.25,188.95766721676048,188.95766721676048,192.16659439142902
6,23,83.36052948110635,-13.448615051686518,14.036243467926473,1084.75,1084.0,1084.25,190.2761151589973,189.1877374461675,177.29354190155942
6,23,-78.19011704297175,-148.90268711422056,-126.55963472449336,1086.75,1086.0,1086.25,224.75764725588314,220.7192787229969,221.60324907365413
6,23,44.08334574361472,43.86182299251182,52.85984124766185,1088.75,1088.0,1088.25,176.79932126566553,213.5883891975404,212.00235847744716
6,23,-159.3193086111829,129.3907255535542,152.46117665042445,1090.75,1090.0,1090.25,161.4001239156897,159.15401345866212,157.88920165736474
7,1,-106.16014669256359,178.1323211605658,-155.40020939484253,1102.75,1102.0,1102.25,183.24027941476186,184.09780009549272,182.5705343148231
7,1,93.50353164478445,18.13808215559732,40.771817294838364,1104.75,1104.0,1104.25,147.2752525036029,183.09833423600554,182.22239159883728
7,1,-41.69813432556499,-115.7581217219756,-92.58579434242449,1106.75,1106.0,1106.25,147.32277488562318,158.7765725792064,155.15798400340216
7,1,159.53772847657783,77.85090839255867,100.9294880021804,1108.75,1108.0,1108.25,143.024473430249,147.29901561110313,147.6787053031005
7,1,3.4267931572904837,-71.34636605765502,-45.0,1110.75,1110.0,1110.25,167.29913329123977,165.7045563646335,166.87720036002526
7,1,177.3021943666837,126.02737338510363,154.08416499755432,1112.75,1112.0,1112.25,191.21192431435855,149.61617559608987,157.87653403846943
7,1,-35.93581009187485,-106.91417916177824,-83.82982490497041,1114.75,1114.0,1114.25,184.0244548966251,178.7316424139833,186.07794065928397
7,1,162.3156079734423,82.87498365109819,107.0784716548738,1116.75,1116.0,1116.25,144.84474446799925,177.36967046256808,173.65770930194836
