pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
52,364,2,2,35,-75,-223,-41
52,365,2,2,35,-75,-186,-134
52,366,2,2,35,-75,-117,-198
52,367,2,2,35,-75,-18,-236
52,376,2,0,35,-75,-148,-3
52,377,2,0,35,-75,-135,-73
52,378,2,0,35,-75,-104,-122
52,379,2,0,35,-75,-53,-156
52,380,2,0,35,-75,5,-161
52,381,2,0,35,-75,71,-140
52,382,2,0,35,-75,116,-99
52,383,2,0,35,-75,144,-39
53,296,2,1,35,-75,162,124
53,297,2,1,35,-75,99,180
53,298,2,1,35,-75,8,208
53,299,2,1,35,-75,-76,195
53,300,2,1,35,-75,-157,140
53,301,2,1,35,-75,-201,67
53,302,2,1,35,-75,-212,-25
53,303,2,1,35,-75,-177,-110
53,312,2,2,35,-75,206,94
53,313,2,2,35,-75,146,168
53,314,2,2,35,-75,67,209
53,315,2,2,35,-75,-32,219
53,316,2,2,35,-75,-113,193
53,317,2,2,35,-75,-185,127
53,318,2,2,35,-75,-222,43
53,319,2,2,35,-75,-228,-62
54,328,2,0,35,-75,-44,135
54,329,2,0,35,-75,-104,103
54,330,2,0,35,-75,-140,58
54,331,2,0,35,-75,-154,-5
54,332,2,0,35,-75,-139,-69
54,333,2,0,35,-75,-100,-113
54,334,2,0,35,-75,-39,-140
54,335,2,0,35,-75,19,-140
54,344,2,1,35,-75,-91,184
54,345,2,1,35,-75,-155,133
54,346,2,1,35,-75,-198,51
54,347,2,1,35,-75,-207,-30
54,348,2,1,35,-75,-181,-117
54,349,2,1,35,-75,-128,-176
54,350,2,1,35,-75,-49,-214
54,351,2,1,35,-75,28,-214
55,424,2,2,35,-75,-63,-135
55,425,2,2,35,-75,-1,-149
55,426,2,2,35,-75,55,-139
55,427,2,2,35,-75,108,-103
55,428,2,2,35,-75,138,-53
55,429,2,2,35,-75,146,10
55,430,2,2,35,-75,130,62
55,431,2,2,35,-75,92,108
55,440,2,0,35,-75,-83,-181
55,441,2,0,35,-75,12,-199
55,442,2,0,35,-75,99,-177
55,443,2,0,35,-75,174,-117
55,444,2,0,35,-75,208,-40
55,445,2,0,35,-75,207,55
55,446,2,0,35,-75,163,135
55,447,2,0,35,-75,100,182
56,456,2,1,35,-75,-128,-188
56,457,2,1,35,-75,-48,-227
56,458,2,1,35,-75,56,-225
56,459,2,1,35,-75,141,-187
56,460,2,1,35,-75,209,-113
56,461,2,1,35,-75,232,-27
56,462,2,1,35,-75,212,78
56,463,2,1,35,-75,161,162
56,472,2,2,35,-75,118,-92
56,473,2,2,35,-75,140,-40
56,474,2,2,35,-75,140,24
56,475,2,2,35,-75,114,82
56,476,2,2,35,-75,75,120
56,477,2,2,35,-75,22,139
56,478,2,2,35,-75,-29,137
56,479,2,2,35,-75,-81,111
